,id_eq,FCAO,SiO2,Al2O3,Fe2O3,CaO,MgO,SO3,K2O,Na2O,C3S,C2S,C3A,C4AF,A/S," ""CaO""  [CurrentProduct.Dry basis]"," ""SiO2""  [CurrentProduct.Dry basis]"," ""Al2O3""  [CurrentProduct.Dry basis]"," ""Fe2O3""  [CurrentProduct.Dry basis]"," ""MgO""  [CurrentProduct.Dry basis]"," ""CaO""  [Rolling.Analysis1.Dry basis]"," ""SiO2""  [Rolling.Analysis1.Dry basis]"," ""Al2O3""  [Rolling.Analysis1.Dry basis]"," ""Fe2O3""  [Rolling.Analysis1.Dry basis]"," ""MgO""  [Rolling.Analysis1.Dry basis]"
3497,2,1.961066,21.07013,4.902778,2.36247,66.49406,2.857894,1.507531,0.6313459,0.4046023,66.26563587000004,4.394821962793571,8.995062459999998,7.188996210000001,0.7027272695854586,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3498,0,1.84,20.73138,4.835671,2.3299,66.36144,2.687069,1.694905,0.7183141,0.3839584,69.29049946199997,1.5134819661072143,8.872337349999999,7.0898857,0.6529931426744019,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3500,2,1.774648,20.94595,4.87472,2.36271,66.50304,2.855566,1.419165,0.5956086,0.3826745,68.19301957200003,3.157299590287998,8.920302679999999,7.18972653,0.7051149687015319,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3501,0,1.782567,20.69073,4.899766,2.371752,66.43556,2.698191,1.569623,0.6849022,0.3747839,69.64455315500001,1.3062263802272085,8.971375515999998,7.217241336,0.6794546323505455,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3502,0,1.98,20.70671,4.918527,2.38111,66.36143,2.683447,1.652296,0.7124163,0.3819169,68.27815384399995,1.7765038743264014,9.00525843,7.245717730000001,0.6652002696132238,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3503,0,1.842343,20.66779,4.93082,2.375463,66.38409,2.691921,1.670411,0.7184936,0.3854566,69.15208718699998,1.4283919228640158,9.047389604,7.228533909,0.6638170304986777,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3504,0,1.9,20.81253,4.910167,2.367643,66.51523,2.695419,1.659437,0.7125176,0.3805741,68.50114193400002,2.1573605912304146,9.005890594,7.204737649000001,0.6613455721943756,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3506,0,1.681221,20.71668,4.927697,2.385711,66.14069,2.699883,1.634369,0.7087421,0.3745722,68.45189512300007,2.5916162741583975,9.021774038,7.259718573000001,0.6647848397145213,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3508,0,1.879305,20.71709,4.878661,2.355759,66.39844,2.678691,1.664916,0.7231375,0.375792,69.06393461699996,1.5227210170432457,8.942507422,7.168574637,0.6608916446466802,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3511,0,1.900108,20.73932,4.889409,2.362182,66.29131,2.695371,1.626579,0.7111123,0.3735889,68.29278141999995,2.1043230074528125,8.960121906,7.188119825999999,0.6684287397016656,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3513,0,1.748032,20.77465,4.899784,2.369629,66.2756,2.685039,1.619792,0.708478,0.3778248,68.49907094600002,2.517039392180827,8.975015332,7.210781047000001,0.6732196917676727,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3515,2,1.649912,20.90305,4.945957,2.385506,66.41901,2.826035,1.578863,0.6309826,0.3960691,68.17360525200002,3.432035966422397,9.070509898000001,7.259094758,0.6638089380211665,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3516,0,1.713174,20.78655,4.912811,2.379638,66.11936,2.665832,1.593458,0.7064601,0.3733906,67.81265656800002,3.176042277883184,8.992601654,7.2412384340000004,0.6796771304160621,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3517,0,1.697358,20.77802,4.944931,2.385533,66.12469,2.669029,1.626902,0.7211608,0.3749583,67.739357924,3.2554567694352556,9.067745314,7.259176919000001,0.6746386897494429,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3518,1,1.91,20.55021,4.93996,2.34575,66.32578,2.822838,1.74614,0.6741369,0.3826036,69.5139706,0.6104995816000383,9.121885,7.13811725,0.6113001228028812,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
