Index, Time, Period, Seconds since, Mound, Comment, "LSF"  [CurrentAnalysis.Dry basis], "LSF"  [Rolling.Analysis1.Dry basis], "SM"  [Rolling.Analysis1.Dry basis], "IM"  [Rolling.Analysis1.Dry basis], "Tph"  [Rolling.Analysis1.Dry basis], "IM"  [CurrentProduct.Dry basis], "LSF"  [CurrentProduct.Dry basis], "Tph"  [CurrentProduct.Dry basis], "SM"  [CurrentProduct.Dry basis], "CaO"  [CurrentProduct.Dry basis], "CaO"  [Rolling.Analysis1.Dry basis], "MgO"  [CurrentProduct.Dry basis], "MgO"  [Rolling.Analysis1.Dry basis], "Al2O3"  [CurrentProduct.Dry basis], "Fe2O3"  [CurrentProduct.Dry basis], "Al2O3"  [Rolling.Analysis1.Dry basis], "Fe2O3"  [Rolling.Analysis1.Dry basis], "SiO2"  [CurrentProduct.Dry basis], "SiO2"  [Rolling.Analysis1.Dry basis], "SM"  [CurrentAnalysis.Dry basis], "CaO"  [CurrentAnalysis.Dry basis], "MgO"  [CurrentAnalysis.Dry basis], "IM"  [CurrentAnalysis.Dry basis], "Fe2O3"  [CurrentAnalysis.Dry basis], "Al2O3"  [CurrentAnalysis.Dry basis], "SiO2"  [CurrentAnalysis.Dry basis], "Tph"  [CurrentAnalysis.Dry basis], "Tons"  [CurrentProduct.Dry basis]
1, 16/09/2024 07:22:48, 60.062, 0, Pila 7624 sur[Pila 7624 sur], AC mantencion 03-03-2016 ., 97.66663, 86.84002, 3.13962, 2.40629, 1103.66999, 2.32875, 87.41706, 1102.22312, 3.18912, 40.81227, 40.73155, 3.26282, 3.26198, 3.28246, 1.40954, 3.37576, 1.40289, 14.96334, 15.00316, 3.18485, 43.32972, 1.65159, 2.15458, 1.41634, 3.05162, 14.22978, 1141.17, 256.2384
2, 16/09/2024 07:23:48, 60.062, 60.06, Pila 7624 sur[Pila 7624 sur], AC mantencion 03-03-2016 ., 107.83876, 88.74852, 3.20522, 2.30531, 1109.87527, 2.30531, 88.74852, 1109.87527, 3.20522, 41.03638, 41.03638, 3.17896, 3.17896, 3.22682, 1.39973, 3.22682, 1.39973, 14.8291, 14.8291, 3.45266, 43.81752, 2.13132, 1.98236, 1.27691, 2.53129, 13.1484, 1207.32, 276.3603
3, 16/09/2024 07:24:48, 60.058, 60.06, Pila 7624 sur[Pila 7624 sur], AC mantencion 03-03-2016 ., 105.58517, 90.1368, 3.22253, 2.26859, 1121.71228, 2.31202, 89.76861, 1118.50839, 3.19297, 41.07789, 41.06162, 3.22856, 3.26492, 3.20708, 1.38713, 3.14887, 1.38803, 14.6692, 14.62032, 3.01326, 41.61674, 3.88336, 2.41381, 1.22025, 2.94545, 12.55233, 1234.47, 296.9348
4, 16/09/2024 07:25:49, 60.063, 60.06, Pila 7624 sur[Pila 7624 sur], AC mantencion 03-03-2016 ., 106.23348, 92.26705, 3.17708, 2.29178, 1132.6913, 2.30944, 90.6996, 1123.11839, 3.18536, 41.19793, 41.22395, 3.20062, 3.29755, 3.18923, 1.38095, 3.13733, 1.36895, 14.55767, 14.31682, 3.06295, 42.96096, 2.78813, 2.26851, 1.28961, 2.92549, 12.91065, 1192.02, 316.8018
5, 16/09/2024 07:26:49, 60.061, 60.06, Pila 7624 sur[Pila 7624 sur], AC mantencion 03-03-2016 ., 109.87996, 94.57689, 3.14122, 2.28711, 1145.86945, 2.30106, 91.70781, 1125.7244, 3.17241, 41.38947, 41.58727, 3.12303, 3.15502, 3.17707, 1.3807, 3.11741, 1.36303, 14.45911, 14.07407, 2.95447, 44.45773, 1.87673, 2.16611, 1.37631, 2.98123, 12.87422, 1168.13, 336.2707
6, 16/09/2024 07:27:49, 60.057, 60.06, Pila 7624 sur[Pila 7624 sur], AC mantencion 03-03-2016 ., 104.96552, 95.58828, 3.16376, 2.25337, 1149.14924, 2.27986, 92.39449, 1128.29338, 3.18576, 41.52848, 41.77262, 3.04987, 3.0698, 3.14362, 1.37887, 3.06494, 1.36016, 14.40757, 13.99994, 3.44873, 43.87724, 1.80869, 1.91146, 1.34757, 2.57583, 13.53078, 1172.5, 355.8124
7, 16/09/2024 07:28:49, 60.059, 60.06, Pila 7624 sur[Pila 7624 sur], AC mantencion 03-03-2016 ., 95.33014, 96.79084, 3.15607, 2.25236, 1152.38759, 2.2921, 92.54255, 1128.82239, 3.18414, 41.59172, 42.05144, 3.01946, 2.91508, 3.14975, 1.37418, 3.05332, 1.35561, 14.40479, 13.91487, 3.15373, 42.78002, 2.4479, 2.53881, 1.28602, 3.26496, 14.35253, 1138.74, 374.7914
8, 16/09/2024 07:29:49, 60.058, 60.06, Pila 7624 sur[Pila 7624 sur], AC mantencion 03-03-2016 ., 112.81239, 98.83208, 3.1914, 2.1918, 1159.0329, 2.26189, 93.45337, 1133.63087, 3.22226, 41.63886, 42.22181, 3.07416, 2.93034, 3.07736, 1.36053, 2.9484, 1.3452, 14.30005, 13.7026, 4.27929, 42.43378, 4.04389, 1.60043, 1.11626, 1.7865, 12.42173, 1222.11, 395.1598
9, 16/09/2024 07:30:49, 60.062, 60.06, Pila 7624 sur[Pila 7624 sur], AC mantencion 03-03-2016 ., 105.26382, 99.6941, 3.16366, 2.25454, 1160.43091, 2.32233, 93.92116, 1132.21865, 3.16646, 41.63618, 42.23878, 3.09018, 2.97572, 3.13432, 1.34964, 2.97205, 1.31825, 14.1983, 13.57304, 2.19409, 41.57854, 3.43468, 3.90662, 1.1157, 4.3586, 12.01108, 1101.83, 413.5236
10, 16/09/2024 07:31:49, 60.061, 60.06, Pila 7624 sur[Pila 7624 sur], AC mantencion 03-03-2016 ., 95.68211, 99.54586, 3.11072, 2.34824, 1161.07242, 2.34885, 93.99525, 1130.56511, 3.14543, 41.67042, 42.18059, 3.0542, 3.00748, 3.16355, 1.34685, 3.0537, 1.30042, 14.18716, 13.54442, 2.72514, 42.45004, 2.23423, 2.9843, 1.28324, 3.82956, 13.93311, 1093.03, 431.7407
