Index, Time, Period, Seconds since, Mound, Comment, "LSF"  [CurrentAnalysis.Dry basis], "LSF"  [Rolling.Analysis1.Dry basis], "SM"  [Rolling.Analysis1.Dry basis], "IM"  [Rolling.Analysis1.Dry basis], "Tph"  [Rolling.Analysis1.Dry basis], "IM"  [CurrentProduct.Dry basis], "LSF"  [CurrentProduct.Dry basis], "Tph"  [CurrentProduct.Dry basis], "SM"  [CurrentProduct.Dry basis], "CaO"  [CurrentProduct.Dry basis], "CaO"  [Rolling.Analysis1.Dry basis], "MgO"  [CurrentProduct.Dry basis], "MgO"  [Rolling.Analysis1.Dry basis], "Al2O3"  [CurrentProduct.Dry basis], "Fe2O3"  [CurrentProduct.Dry basis], "Al2O3"  [Rolling.Analysis1.Dry basis], "Fe2O3"  [Rolling.Analysis1.Dry basis], "SiO2"  [CurrentProduct.Dry basis], "SiO2"  [Rolling.Analysis1.Dry basis], "SM"  [CurrentAnalysis.Dry basis], "CaO"  [CurrentAnalysis.Dry basis], "MgO"  [CurrentAnalysis.Dry basis], "IM"  [CurrentAnalysis.Dry basis], "Fe2O3"  [CurrentAnalysis.Dry basis], "Al2O3"  [CurrentAnalysis.Dry basis], "SiO2"  [CurrentAnalysis.Dry basis], "Tph"  [CurrentAnalysis.Dry basis], "Tons"  [CurrentProduct.Dry basis]
1, 19/09/2024 07:30:09, 60.057, 0, Pila 7724 norte[Pila 7724 norte], AC mantencion 03-03-2016 ., 69.65095, 77.91706, 2.79066, 2.23404, 1145.76003, 2.22928, 69.65095, 1073.25, 2.97137, 38.23641, 39.30718, 3.63184, 3.53899, 4.05939, 1.82094, 3.94663, 1.76659, 17.47267, 15.94363, 2.97137, 38.23641, 3.63184, 2.22928, 1.82094, 4.05939, 17.47267, 1073.25, 17.8876
2, 19/09/2024 07:31:09, 60.063, 60.06, Pila 7724 norte[Pila 7724 norte], AC mantencion 03-03-2016 ., 77.2918, 76.42095, 2.77644, 2.27743, 1137.48545, 2.45508, 73.33769, 1083.27098, 2.87826, 38.30058, 39.12404, 4.02921, 3.51873, 4.08437, 1.66364, 4.04612, 1.77661, 16.5443, 16.16651, 2.78378, 38.35985, 4.4142, 2.71893, 1.51099, 4.10828, 15.64285, 1093.11, 36.106
3, 19/09/2024 07:32:10, 60.057, 60.06, Pila 7724 norte[Pila 7724 norte], AC mantencion 03-03-2016 ., 83.76307, 76.60398, 2.79009, 2.29869, 1137.9837, 2.63591, 76.76353, 1105.71287, 2.78355, 39.01423, 39.16779, 3.5848, 3.49102, 4.17364, 1.58337, 4.03439, 1.75509, 16.02494, 16.15316, 2.60583, 40.35945, 2.74706, 3.03192, 1.43206, 4.34189, 15.04593, 1148.06, 55.2404
4, 19/09/2024 07:33:10, 60.062, 60.06, Pila 7724 norte[Pila 7724 norte], AC mantencion 03-03-2016 ., 84.89564, 75.96806, 2.80642, 2.34536, 1127.48574, 2.56279, 78.70142, 1109.42849, 2.85586, 39.03811, 38.94972, 3.92251, 3.67404, 3.95234, 1.5422, 4.04808, 1.726, 15.69164, 16.20449, 3.11058, 39.09434, 4.89926, 2.32705, 1.42247, 3.31015, 14.72118, 1120.42, 73.9141
5, 19/09/2024 07:34:10, 60.059, 60.06, Pila 7724 norte[Pila 7724 norte], AC mantencion 03-03-2016 ., 85.06, 76.36142, 2.7855, 2.35686, 1123.42929, 2.50743, 79.96435, 1108.66053, 2.88713, 39.679, 39.21323, 3.41566, 3.41519, 3.89269, 1.55246, 4.0871, 1.73413, 15.72085, 16.21506, 3.01953, 42.26767, 1.36683, 2.2909, 1.59386, 3.65139, 15.83819, 1105.58, 92.3405
6, 19/09/2024 07:35:10, 60.062, 60.06, Pila 7724 norte[Pila 7724 norte], AC mantencion 03-03-2016 ., 76.82898, 75.91118, 2.76073, 2.40494, 1111.19155, 2.53856, 79.45598, 1100.51754, 2.84146, 39.53529, 39.06563, 3.48652, 3.49197, 3.97227, 1.56477, 4.15201, 1.72645, 15.73325, 16.22883, 2.6243, 38.77943, 3.85893, 2.69448, 1.62945, 4.39052, 15.79823, 1057.87, 109.9717
7, 19/09/2024 07:36:10, 60.058, 60.06, Pila 7724 norte[Pila 7724 norte], AC mantencion 03-03-2016 ., 76.47952, 75.14313, 2.77899, 2.46228, 1111.70413, 2.58825, 78.97815, 1117.49503, 2.84308, 39.58538, 39.05752, 3.37519, 3.42105, 4.02023, 1.55326, 4.19671, 1.7044, 15.84587, 16.39912, 2.85159, 39.85905, 2.7654, 2.87403, 1.4902, 4.28288, 16.46245, 1210.07, 130.1396
8, 19/09/2024 07:37:10, 60.058, 60.06, Pila 7724 norte[Pila 7724 norte], AC mantencion 03-03-2016 ., 88.0519, 75.68928, 2.80275, 2.45727, 1119.99056, 2.58546, 80.18019, 1142.33801, 2.85594, 39.66683, 38.94276, 3.44783, 3.6205, 3.95114, 1.52821, 4.12072, 1.67695, 15.64872, 16.24941, 2.94282, 40.14528, 3.87993, 2.56674, 1.37875, 3.53888, 14.47168, 1292.43, 151.6801
9, 19/09/2024 07:38:10, 60.06, 60.06, Pila 7724 norte[Pila 7724 norte], AC mantencion 03-03-2016 ., 94.32121, 76.70127, 2.83841, 2.38759, 1121.56692, 2.5362, 81.69823, 1150.4003, 2.85066, 39.83692, 39.03634, 3.44679, 3.66567, 3.88061, 1.53009, 3.99843, 1.67467, 15.42406, 16.10261, 2.80744, 41.05664, 3.4371, 2.17918, 1.54288, 3.36222, 13.7708, 1210.99, 171.8632
10, 19/09/2024 07:39:10, 60.062, 60.06, Pila 7724 norte[Pila 7724 norte], AC mantencion 03-03-2016 ., 95.07473, 77.92282, 2.80674, 2.46353, 1118.38906, 2.60736, 82.87149, 1149.82079, 2.80185, 39.86368, 39.14231, 3.46157, 3.63453, 3.91612, 1.50195, 4.02089, 1.63217, 15.18061, 15.86664, 2.36859, 40.1044, 3.59449, 3.39199, 1.24871, 4.23561, 12.99011, 1144.6, 190.9399
