Index, Time, Period, Seconds since, Mound, Comment, "LSF"  [CurrentAnalysis.Dry basis], "LSF"  [Rolling.Analysis1.Dry basis], "SM"  [Rolling.Analysis1.Dry basis], "IM"  [Rolling.Analysis1.Dry basis], "Tph"  [Rolling.Analysis1.Dry basis], "IM"  [CurrentProduct.Dry basis], "LSF"  [CurrentProduct.Dry basis], "Tph"  [CurrentProduct.Dry basis], "SM"  [CurrentProduct.Dry basis], "CaO"  [CurrentProduct.Dry basis], "CaO"  [Rolling.Analysis1.Dry basis], "MgO"  [CurrentProduct.Dry basis], "MgO"  [Rolling.Analysis1.Dry basis], "Al2O3"  [CurrentProduct.Dry basis], "Fe2O3"  [CurrentProduct.Dry basis], "Al2O3"  [Rolling.Analysis1.Dry basis], "Fe2O3"  [Rolling.Analysis1.Dry basis], "SiO2"  [CurrentProduct.Dry basis], "SiO2"  [Rolling.Analysis1.Dry basis], "SM"  [CurrentAnalysis.Dry basis], "CaO"  [CurrentAnalysis.Dry basis], "MgO"  [CurrentAnalysis.Dry basis], "IM"  [CurrentAnalysis.Dry basis], "Fe2O3"  [CurrentAnalysis.Dry basis], "Al2O3"  [CurrentAnalysis.Dry basis], "SiO2"  [CurrentAnalysis.Dry basis], "Tph"  [CurrentAnalysis.Dry basis], "Tons"  [CurrentProduct.Dry basis]
1, 22/09/2024 08:15:15, 60.063, 0, Pila 7824 Sur[Pila 7824 Sur], AC mantencion 03-03-2016 ., 89.94559, 102.89724, 2.63492, 2.69732, 1182.75218, 2.69233, 107.08274, 1144.32274, 2.70155, 42.83246, 42.49503, 2.90153, 2.8906, 3.39111, 1.25955, 3.5806, 1.32747, 12.564, 12.93234, 2.83814, 40.8732, 3.73351, 2.33681, 1.51857, 3.5486, 14.38133, 1191.39, 610.8736
2, 22/09/2024 08:16:15, 60.058, 60.06, Pila 7824 Sur[Pila 7824 Sur], AC mantencion 03-03-2016 ., 88.40087, 101.02331, 2.68629, 2.66277, 1182.85498, 2.68981, 106.45414, 1144.11527, 2.71768, 42.74374, 42.23914, 2.9543, 3.02075, 3.38547, 1.25863, 3.55222, 1.33403, 12.62118, 13.12591, 3.26585, 39.86975, 4.66281, 2.60608, 1.22889, 3.2026, 14.47258, 1137.43, 629.8307
3, 22/09/2024 08:17:15, 60.058, 60.06, Pila 7824 Sur[Pila 7824 Sur], AC mantencion 03-03-2016 ., 92.57527, 99.92177, 2.72868, 2.61538, 1177.7759, 2.6826, 106.00859, 1143.35475, 2.72547, 42.73365, 42.21363, 2.935, 2.97204, 3.38799, 1.26295, 3.52345, 1.3472, 12.67598, 13.29047, 2.97986, 42.37521, 2.27086, 2.46174, 1.4111, 3.47377, 14.55626, 1117.64, 648.4581
4, 22/09/2024 08:18:15, 60.063, 60.06, Pila 7824 Sur[Pila 7824 Sur], AC mantencion 03-03-2016 ., 74.33195, 97.64351, 2.71951, 2.63137, 1173.17204, 2.6694, 104.93565, 1141.61667, 2.73675, 42.63482, 41.91353, 2.95519, 3.09431, 3.39795, 1.27293, 3.59644, 1.36676, 12.78304, 13.49745, 3.0966, 38.93929, 3.70152, 2.29297, 1.64181, 3.76462, 16.74152, 1078.94, 666.4405
5, 22/09/2024 08:19:15, 60.058, 60.06, Pila 7824 Sur[Pila 7824 Sur], AC mantencion 03-03-2016 ., 72.95819, 95.66446, 2.73172, 2.59717, 1168.21663, 2.66689, 103.89392, 1140.81269, 2.73466, 42.49501, 41.59267, 3.00909, 3.23776, 3.42223, 1.28323, 3.61587, 1.39223, 12.86785, 13.68071, 2.67395, 37.22476, 5.01517, 2.59536, 1.66568, 4.32306, 16.01362, 1111.9, 684.9722
6, 22/09/2024 08:20:15, 60.062, 60.06, Pila 7824 Sur[Pila 7824 Sur], AC mantencion 03-03-2016 ., 82.12407, 94.43151, 2.74813, 2.57877, 1170.20026, 2.64749, 103.19002, 1141.4003, 2.74454, 42.44755, 41.42216, 3.00015, 3.29002, 3.42427, 1.2934, 3.62198, 1.40454, 12.94785, 13.81353, 3.07131, 40.69976, 2.67408, 2.10417, 1.6615, 3.49609, 15.84054, 1162.18, 704.3418
7, 22/09/2024 08:21:15, 60.06, 60.06, Pila 7824 Sur[Pila 7824 Sur], AC mantencion 03-03-2016 ., 88.95988, 93.43442, 2.75925, 2.52273, 1163.65654, 2.62613, 102.7935, 1140.69456, 2.75276, 42.39322, 41.26433, 3.01768, 3.33539, 3.41676, 1.30106, 3.61228, 1.43189, 12.98703, 13.91812, 3.06809, 40.29919, 3.69047, 1.9606, 1.59525, 3.12765, 14.49031, 1113.92, 722.9071
8, 22/09/2024 08:22:15, 60.058, 60.06, Pila 7824 Sur[Pila 7824 Sur], AC mantencion 03-03-2016 ., 85.88211, 92.48681, 2.77433, 2.51628, 1157.49496, 2.62478, 102.34501, 1138.05926, 2.75507, 42.38757, 41.305, 2.98468, 3.21466, 3.42827, 1.30612, 3.63282, 1.44373, 13.04358, 14.08403, 2.84237, 42.09684, 1.54191, 2.57488, 1.52513, 3.92703, 15.49707, 1026.73, 740.0192
9, 22/09/2024 08:23:15, 60.061, 60.06, Pila 7824 Sur[Pila 7824 Sur], AC mantencion 03-03-2016 ., 101.47742, 92.177, 2.81283, 2.49759, 1151.81349, 2.6193, 102.32253, 1138.14324, 2.76442, 42.41779, 41.27933, 2.95257, 3.21655, 3.41935, 1.30544, 3.59136, 1.43793, 13.06129, 14.14651, 3.16095, 43.5961, 1.7008, 2.40087, 1.27926, 3.07134, 13.75203, 1141.41, 759.0428
10, 22/09/2024 08:24:15, 60.059, 60.06, Pila 7824 Sur[Pila 7824 Sur], AC mantencion 03-03-2016 ., 110.66584, 92.87487, 2.83935, 2.43407, 1146.07308, 2.62773, 102.50533, 1137.22683, 2.7624, 42.41212, 41.20817, 2.97117, 3.3596, 3.41789, 1.3007, 3.50376, 1.43946, 13.03463, 14.03553, 2.67483, 42.1756, 3.73408, 3.03608, 1.10591, 3.35764, 11.93925, 1099.26, 777.3639
11, 22/09/2024 08:25:15, 60.058, 60.06, Pila 7824 Sur[Pila 7824 Sur], AC mantencion 03-03-2016 ., 108.1411, 92.64462, 2.85522, 2.47225, 1137.04773, 2.64301, 102.61993, 1135.19519, 2.75449, 42.39146, 41.15626, 2.9946, 3.40065, 3.42626, 1.29635, 3.50587, 1.41809, 13.00842, 14.05897, 2.4147, 41.46905, 4.04105, 3.44811, 1.10215, 3.80033, 11.83799, 1044.47, 794.7717
12, 22/09/2024 08:26:15, 60.062, 60.06, Pila 7824 Sur[Pila 7824 Sur], AC mantencion 03-03-2016 ., 100.64883, 92.20504, 2.9152, 2.46426, 1125.99594, 2.64338, 102.5789, 1132.92571, 2.76017, 42.36161, 41.08849, 3.02134, 3.44837, 3.41914, 1.29347, 3.44943, 1.39978, 13.0076, 14.13639, 3.05246, 40.97779, 4.26066, 2.66283, 1.16, 3.08888, 12.96955, 1027.61, 811.8985
13, 22/09/2024 08:27:15, 60.06, 60.06, Pila 7824 Sur[Pila 7824 Sur], AC mantencion 03-03-2016 ., 102.92122, 92.18832, 2.88857, 2.53518, 1116.58431, 2.66514, 102.58603, 1130.94807, 2.75116, 42.36695, 41.10583, 3.00843, 3.40395, 3.43657, 1.28945, 3.50689, 1.38329, 13.00202, 14.12561, 2.37776, 42.6181, 2.4, 3.8705, 1.10001, 4.25759, 12.73911, 1038.15, 829.201
14, 22/09/2024 08:28:16, 60.06, 60.06, Pila 7824 Sur[Pila 7824 Sur], AC mantencion 03-03-2016 ., 101.78696, 92.25931, 2.85692, 2.60543, 1100.50183, 2.67714, 102.57017, 1128.56903, 2.74728, 42.36228, 41.11886, 3.0103, 3.36897, 3.44503, 1.28683, 3.56576, 1.36859, 12.99972, 14.09701, 2.56642, 42.1294, 3.1027, 3.33891, 1.15713, 3.86356, 12.88523, 1011.56, 846.0604
15, 22/09/2024 08:29:16, 60.061, 60.06, Pila 7824 Sur[Pila 7824 Sur], AC mantencion 03-03-2016 ., 108.93179, 92.77263, 2.86781, 2.60244, 1092.84771, 2.67219, 102.69514, 1126.99413, 2.75221, 42.37288, 41.21508, 3.01411, 3.32203, 3.4346, 1.28531, 3.54128, 1.36075, 12.9902, 14.05811, 3.01976, 42.86677, 3.19476, 2.42243, 1.21284, 2.93801, 12.53455, 1050.92, 863.5757
16, 22/09/2024 08:30:16, 60.057, 60.06, Pila 7824 Sur[Pila 7824 Sur], AC mantencion 03-03-2016 ., 113.15217, 94.07622, 2.82753, 2.66637, 1081.43356, 2.68412, 102.87551, 1125.0551, 2.7412, 42.34629, 41.22792, 3.04398, 3.37006, 3.44253, 1.28256, 3.56001, 1.33515, 12.95243, 13.84118, 2.21945, 41.0127, 4.53848, 3.35491, 1.1444, 3.83935, 11.06119, 1027.25, 880.6965
