Index, Time, Period, Seconds since, Mound, Comment, "LSF"  [CurrentAnalysis.Dry basis], "LSF"  [Rolling.Analysis1.Dry basis], "SM"  [Rolling.Analysis1.Dry basis], "IM"  [Rolling.Analysis1.Dry basis], "Tph"  [Rolling.Analysis1.Dry basis], "IM"  [CurrentProduct.Dry basis], "LSF"  [CurrentProduct.Dry basis], "Tph"  [CurrentProduct.Dry basis], "SM"  [CurrentProduct.Dry basis], "CaO"  [CurrentProduct.Dry basis], "CaO"  [Rolling.Analysis1.Dry basis], "MgO"  [CurrentProduct.Dry basis], "MgO"  [Rolling.Analysis1.Dry basis], "Al2O3"  [CurrentProduct.Dry basis], "Fe2O3"  [CurrentProduct.Dry basis], "Al2O3"  [Rolling.Analysis1.Dry basis], "Fe2O3"  [Rolling.Analysis1.Dry basis], "SiO2"  [CurrentProduct.Dry basis], "SiO2"  [Rolling.Analysis1.Dry basis], "SM"  [CurrentAnalysis.Dry basis], "CaO"  [CurrentAnalysis.Dry basis], "MgO"  [CurrentAnalysis.Dry basis], "IM"  [CurrentAnalysis.Dry basis], "Fe2O3"  [CurrentAnalysis.Dry basis], "Al2O3"  [CurrentAnalysis.Dry basis], "SiO2"  [CurrentAnalysis.Dry basis], "Tph"  [CurrentAnalysis.Dry basis], "Tons"  [CurrentProduct.Dry basis]
1, 16/10/2024 12:10:11, 60.06, 0, Pila 8524 Norte[Pila 8524 Norte ], AC mantencion 03-03-2016 ., 80.3471, 84.04364, 3.20893, 2.66312, 1068.02941, 2.63574, 84.44124, 1044.48586, 3.25794, 40.6102, 40.57359, 3.23634, 3.20209, 3.4328, 1.30241, 3.50265, 1.31524, 15.427, 15.46028, 2.95634, 40.15536, 3.01592, 3.07663, 1.3143, 4.04362, 15.83985, 1214.95, 326.3442
2, 16/10/2024 12:11:11, 60.058, 60.06, Pila 8524 Norte[Pila 8524 Norte ], AC mantencion 03-03-2016 ., 96.84568, 85.24428, 3.19158, 2.62302, 1085.72097, 2.65037, 85.06035, 1050.75354, 3.22691, 40.65365, 40.61843, 3.22788, 3.23342, 3.44592, 1.30016, 3.46009, 1.31912, 15.31521, 15.25326, 2.72289, 41.38855, 3.0847, 2.90579, 1.26227, 3.66789, 13.42429, 1156.84, 345.6249
3, 16/10/2024 12:12:11, 60.061, 60.06, Pila 8524 Norte[Pila 8524 Norte ], AC mantencion 03-03-2016 ., 101.97219, 85.98872, 3.19099, 2.54349, 1107.2766, 2.6091, 85.8873, 1060.28934, 3.20985, 40.72074, 40.61934, 3.25558, 3.34093, 3.42042, 1.31096, 3.40255, 1.33775, 15.187, 15.12623, 2.90831, 41.8307, 3.71724, 2.00823, 1.4908, 2.99387, 13.04282, 1222.1, 365.9932
4, 16/10/2024 12:13:11, 60.059, 60.06, Pila 8524 Norte[Pila 8524 Norte ], AC mantencion 03-03-2016 ., 95.68144, 86.62422, 3.15623, 2.46841, 1123.03721, 2.54288, 86.3671, 1067.09689, 3.19891, 40.80906, 40.79434, 3.21597, 3.21584, 3.39568, 1.33537, 3.39756, 1.37641, 15.13422, 15.06774, 3.00021, 42.40353, 2.49648, 1.65691, 1.77805, 2.94606, 14.17333, 1192.46, 385.8676
5, 16/10/2024 12:14:11, 60.061, 60.06, Pila 8524 Norte[Pila 8524 Norte ], AC mantencion 03-03-2016 ., 78.25615, 85.98028, 3.13254, 2.43259, 1140.44592, 2.5264, 85.93076, 1076.15167, 3.17479, 40.73109, 40.77673, 3.24185, 3.15355, 3.42354, 1.35511, 3.43068, 1.4103, 15.17118, 15.16456, 2.79856, 39.27367, 3.72526, 2.28783, 1.72384, 3.94385, 15.86136, 1244.59, 406.6108
6, 16/10/2024 12:15:11, 60.06, 60.06, Pila 8524 Norte[Pila 8524 Norte ], AC mantencion 03-03-2016 ., 79.54885, 85.51264, 3.13688, 2.41389, 1155.28954, 2.502, 85.61932, 1082.98554, 3.18961, 40.61864, 40.64117, 3.32566, 3.23134, 3.40317, 1.36018, 3.42628, 1.4194, 15.19325, 15.20032, 3.50486, 38.38491, 4.98849, 2.05295, 1.46076, 2.99887, 15.63039, 1219.68, 426.9388
7, 16/10/2024 12:16:11, 60.058, 60.06, Pila 8524 Norte[Pila 8524 Norte ], AC mantencion 03-03-2016 ., 84.98832, 85.87701, 3.1397, 2.35436, 1168.46834, 2.49185, 85.59232, 1086.57084, 3.17165, 40.56723, 40.62518, 3.38324, 3.31189, 3.41337, 1.36982, 3.38355, 1.43714, 15.17062, 15.13554, 2.8129, 39.44174, 4.64296, 2.30069, 1.58059, 3.63645, 14.67501, 1165.38, 446.3617
8, 16/10/2024 12:17:11, 60.061, 60.06, Pila 8524 Norte[Pila 8524 Norte ], AC mantencion 03-03-2016 ., 94.21638, 86.54028, 3.17495, 2.26485, 1173.67814, 2.45984, 85.94173, 1090.94523, 3.17842, 40.6208, 40.8402, 3.37728, 3.20429, 3.38536, 1.37625, 3.30431, 1.45895, 15.13437, 15.12311, 3.3459, 41.79879, 3.2445, 1.81986, 1.51854, 2.76353, 14.32738, 1189.44, 466.1857
9, 16/10/2024 12:18:11, 60.064, 60.06, Pila 8524 Norte[Pila 8524 Norte ], AC mantencion 03-03-2016 ., 86.65405, 86.92932, 3.11922, 2.25783, 1181.55774, 2.43669, 85.96961, 1094.07909, 3.16465, 40.60038, 40.80231, 3.38444, 3.23873, 3.3868, 1.38992, 3.336, 1.47752, 15.11663, 15.01445, 2.85805, 40.10843, 3.55638, 1.99092, 1.71847, 3.42133, 14.68983, 1169.06, 485.6701
10, 16/10/2024 12:19:12, 60.059, 60.06, Pila 8524 Norte[Pila 8524 Norte ], AC mantencion 03-03-2016 ., 86.12553, 87.3459, 3.09511, 2.22556, 1180.06608, 2.41743, 85.97585, 1097.77961, 3.15754, 40.63703, 40.86614, 3.34537, 3.19889, 3.38889, 1.40186, 3.33419, 1.49814, 15.12698, 14.95658, 2.99539, 41.53532, 2.38772, 2.0302, 1.69452, 3.44022, 15.38057, 1188.51, 505.4786
