Index, Time, Period, Seconds since, Mound, Comment, "LSF"  [CurrentAnalysis.Dry basis], "LSF"  [Rolling.Analysis1.Dry basis], "SM"  [Rolling.Analysis1.Dry basis], "IM"  [Rolling.Analysis1.Dry basis], "Tph"  [Rolling.Analysis1.Dry basis], "IM"  [CurrentProduct.Dry basis], "LSF"  [CurrentProduct.Dry basis], "SM"  [CurrentProduct.Dry basis], "Tph"  [CurrentProduct.Dry basis], "CaO"  [CurrentProduct.Dry basis], "CaO"  [Rolling.Analysis1.Dry basis], "MgO"  [CurrentProduct.Dry basis], "MgO"  [Rolling.Analysis1.Dry basis], "Al2O3"  [CurrentProduct.Dry basis], "Fe2O3"  [CurrentProduct.Dry basis], "Al2O3"  [Rolling.Analysis1.Dry basis], "Fe2O3"  [Rolling.Analysis1.Dry basis], "SiO2"  [CurrentProduct.Dry basis], "SiO2"  [Rolling.Analysis1.Dry basis], "SM"  [CurrentAnalysis.Dry basis], "CaO"  [CurrentAnalysis.Dry basis], "IM"  [CurrentAnalysis.Dry basis], "Fe2O3"  [CurrentAnalysis.Dry basis], "Al2O3"  [CurrentAnalysis.Dry basis], "SiO2"  [CurrentAnalysis.Dry basis], "Tph"  [CurrentAnalysis.Dry basis], "Tons"  [CurrentProduct.Dry basis], "MgO"  [CurrentAnalysis.Dry basis]
1, 30/01/2024 07:07:22, 60.058, 0, Pila 0724 norte[Pila 0724 norte], AC mantencion 03-03-2016 ., 76.98913, 93.53921, 2.72088, 2.27622, 1169.45162, 2.72538, 76.98913, 3.35374, 994.892, 41.71339, 41.69689, 1.26833, 2.6538, 3.80096, 1.39465, 3.58594, 1.57539, 17.42472, 14.04339, 3.35374, 41.71339, 2.72538, 1.39465, 3.80096, 17.42472, 994.892, 16.5815, 1.26833
2, 30/01/2024 07:08:22, 60.062, 60.06, Pila 0724 norte[Pila 0724 norte], AC mantencion 03-03-2016 ., 85.27863, 93.465, 2.73736, 2.29866, 1155.79577, 2.80007, 80.80328, 3.22432, 973.29165, 41.07428, 41.55632, 2.35664, 2.78347, 3.72004, 1.32855, 3.56787, 1.55215, 16.2783, 14.01533, 3.08341, 40.41046, 2.88489, 1.26046, 3.63628, 15.09867, 950.687, 32.4263, 3.47302
3, 30/01/2024 07:09:23, 60.065, 60.06, Pila 0724 norte[Pila 0724 norte], AC mantencion 03-03-2016 ., 97.131, 93.63168, 2.75519, 2.32089, 1146.85301, 2.71653, 85.9438, 3.28444, 990.15154, 41.42531, 41.45494, 2.56193, 2.89706, 3.44263, 1.26729, 3.54237, 1.5263, 15.46944, 13.96514, 3.42233, 42.05754, 2.53811, 1.15315, 2.92684, 13.96307, 1022.24, 49.4637, 2.94136
4, 30/01/2024 07:10:23, 60.052, 60.07, Pila 0724 norte[Pila 0724 norte], AC mantencion 03-03-2016 ., 87.95678, 92.54046, 2.7729, 2.37529, 1133.09735, 2.7243, 86.44232, 3.29593, 996.5074, 41.16224, 41.31128, 2.90377, 2.9718, 3.39288, 1.24541, 3.57517, 1.50515, 15.28751, 14.08724, 3.33131, 40.39771, 2.7484, 1.182, 3.24862, 14.75978, 1015.09, 66.3819, 3.8931
5, 30/01/2024 07:11:23, 60.063, 60.05, Pila 0724 norte[Pila 0724 norte], AC mantencion 03-03-2016 ., 88.70701, 91.91837, 2.84398, 2.35498, 1114.33755, 2.60547, 86.88363, 3.39009, 990.6195, 41.30918, 41.30868, 2.84479, 2.94624, 3.26437, 1.25289, 3.51083, 1.49081, 15.31395, 14.22457, 3.83535, 41.91059, 2.1328, 1.28352, 2.73749, 15.42199, 966.352, 82.4878, 2.60295
6, 30/01/2024 07:12:23, 60.057, 60.06, Pila 0724 norte[Pila 0724 norte], AC mantencion 03-03-2016 ., 88.74199, 91.13515, 2.89662, 2.36454, 1095.61535, 2.60776, 87.18664, 3.41358, 988.20522, 41.37942, 41.34742, 2.79488, 2.87211, 3.23908, 1.2421, 3.49116, 1.47647, 15.29688, 14.38931, 3.53895, 41.73597, 2.62, 1.18727, 3.11065, 15.21014, 975.962, 98.7538, 2.54141
7, 30/01/2024 07:13:23, 60.063, 60.06, Pila 0724 norte[Pila 0724 norte], AC mantencion 03-03-2016 ., 107.78659, 91.64082, 2.92976, 2.39089, 1084.01163, 2.66901, 90.08592, 3.3471, 1007.1789, 41.84049, 41.50332, 2.5825, 2.79001, 3.24637, 1.21632, 3.46081, 1.4475, 14.93706, 14.38018, 2.98641, 44.27195, 3.04125, 1.08, 3.28454, 13.03427, 1108.59, 117.2303, 1.46013
8, 30/01/2024 07:14:23, 60.06, 60.06, Pila 0724 norte[Pila 0724 norte], AC mantencion 03-03-2016 ., 104.9611, 90.90518, 2.97361, 2.43029, 1074.08931, 2.62956, 91.909, 3.36394, 1017.85471, 42.04792, 41.43951, 2.54366, 2.8151, 3.17084, 1.20584, 3.45356, 1.42105, 14.7229, 14.49519, 3.48898, 43.35953, 2.36127, 1.13887, 2.68917, 13.35593, 1086.94, 135.346, 2.29576
9, 30/01/2024 07:15:23, 60.058, 60.06, Pila 0724 norte[Pila 0724 norte], AC mantencion 03-03-2016 ., 125.81536, 91.55234, 3.06208, 2.37147, 1075.33669, 2.52181, 95.37511, 3.40572, 1031.37963, 42.48094, 41.60945, 2.45486, 2.78123, 3.01866, 1.19702, 3.33121, 1.4047, 14.35744, 14.50176, 3.81532, 45.43251, 1.72787, 1.13446, 1.9602, 11.80715, 1128.69, 154.1574, 1.83643
10, 30/01/2024 08:04:02, 60.065, 2918.93, Pila 0724 norte[Pila 0724 norte], AC mantencion 03-03-2016 ., 105.92616, 91.87599, 3.15851, 2.34826, 1077.27182, 2.49798, 96.49499, 3.43346, 1049.0577, 42.5561, 41.70753, 2.4929, 2.77074, 2.95937, 1.1847, 3.22715, 1.37427, 14.22849, 14.53363, 3.68405, 43.12913, 2.29644, 1.08973, 2.50249, 13.23391, 1186.83, 173.9379, 2.78542
