Index, Time, Period, Seconds since, Mound, Comment, "LSF"  [CurrentAnalysis.Dry basis], "LSF"  [Rolling.Analysis1.Dry basis], "SM"  [Rolling.Analysis1.Dry basis], "IM"  [Rolling.Analysis1.Dry basis], "Tph"  [Rolling.Analysis1.Dry basis], "IM"  [CurrentProduct.Dry basis], "LSF"  [CurrentProduct.Dry basis], "SM"  [CurrentProduct.Dry basis], "Tph"  [CurrentProduct.Dry basis], "CaO"  [CurrentProduct.Dry basis], "CaO"  [Rolling.Analysis1.Dry basis], "MgO"  [CurrentProduct.Dry basis], "MgO"  [Rolling.Analysis1.Dry basis], "Al2O3"  [CurrentProduct.Dry basis], "Fe2O3"  [CurrentProduct.Dry basis], "Al2O3"  [Rolling.Analysis1.Dry basis], "Fe2O3"  [Rolling.Analysis1.Dry basis], "SiO2"  [CurrentProduct.Dry basis], "SiO2"  [Rolling.Analysis1.Dry basis], "SM"  [CurrentAnalysis.Dry basis], "CaO"  [CurrentAnalysis.Dry basis], "MgO"  [CurrentAnalysis.Dry basis], "IM"  [CurrentAnalysis.Dry basis], "Fe2O3"  [CurrentAnalysis.Dry basis], "Al2O3"  [CurrentAnalysis.Dry basis], "SiO2"  [CurrentAnalysis.Dry basis]
1, 23/04/2023 07:30:32, 60.06, 0, Pila 2923 Sur[Pila 2923 Sur], AC mantencion 03-03-2016 ., 82.53148, 96.44315, 3.07041, 2.22356, 1107.90681, 2.2231, 92.2029, 3.09773, 1120.82653, 41.45265, 41.89305, 2.86179, 2.81109, 3.2004, 1.43961, 3.117, 1.40181, 14.37352, 13.87459, 2.99916, 40.33701, 2.9943, 2.19325, 1.62624, 3.56675, 15.5746
2, 23/04/2023 07:31:33, 60.059, 60.06, Pila 2923 Sur[Pila 2923 Sur], AC mantencion 03-03-2016 ., 78.85031, 94.00679, 3.07505, 2.27712, 1111.62403, 2.27715, 91.16915, 3.0838, 1120.58291, 41.29206, 41.56021, 2.93007, 2.94442, 3.26029, 1.43174, 3.19048, 1.40111, 14.46926, 14.1194, 2.92552, 39.16977, 3.82857, 3.0489, 1.32774, 4.04814, 15.72724
3, 23/04/2023 07:32:33, 60.061, 60.06, Pila 2923 Sur[Pila 2923 Sur], AC mantencion 03-03-2016 ., 74.92966, 89.95138, 3.0856, 2.30098, 1119.11946, 2.30098, 89.95138, 3.0856, 1119.11946, 41.21283, 41.21283, 2.89764, 2.89764, 3.30641, 1.43696, 3.30641, 1.43696, 14.63614, 14.63614, 3.10802, 40.03939, 2.42412, 2.62931, 1.51221, 3.97605, 17.05761
4, 23/04/2023 07:33:33, 60.059, 60.06, Pila 2923 Sur[Pila 2923 Sur], AC mantencion 03-03-2016 ., 70.12178, 87.39477, 3.08018, 2.31444, 1130.42659, 2.34302, 88.47012, 3.06386, 1119.49646, 41.14716, 41.07957, 2.81138, 2.7726, 3.39545, 1.44918, 3.40324, 1.47044, 14.84324, 15.01179, 2.81491, 40.07259, 1.47464, 2.91346, 1.63592, 4.76617, 18.02133
5, 23/04/2023 07:34:33, 60.061, 60.06, Pila 2923 Sur[Pila 2923 Sur], AC mantencion 03-03-2016 ., 83.61818, 87.17136, 3.09779, 2.31328, 1138.54422, 2.36393, 88.16342, 3.04285, 1120.83198, 41.18349, 41.19253, 2.7293, 2.64807, 3.44004, 1.45522, 3.40345, 1.47126, 14.89555, 15.10081, 2.75882, 41.74936, 1.42258, 2.67493, 1.55086, 4.14844, 15.72334
6, 23/04/2023 07:35:33, 60.059, 60.06, Pila 2923 Sur[Pila 2923 Sur], AC mantencion 03-03-2016 ., 74.24544, 85.75733, 3.10724, 2.28322, 1142.66187, 2.35216, 87.27256, 3.04295, 1121.88128, 41.11318, 41.00956, 2.73171, 2.71862, 3.46417, 1.47276, 3.42174, 1.49865, 15.02283, 15.28882, 3.0444, 39.92573, 2.7721, 2.189, 1.76793, 3.87, 17.16413
7, 23/04/2023 07:36:33, 60.058, 60.06, Pila 2923 Sur[Pila 2923 Sur], AC mantencion 03-03-2016 ., 75.93629, 84.23012, 3.0237, 2.35196, 1144.22209, 2.39068, 86.61269, 3.00586, 1123.41309, 41.05582, 40.86852, 2.67809, 2.63255, 3.54039, 1.48091, 3.58812, 1.52559, 15.09334, 15.46231, 2.49975, 39.97605, 1.70577, 3.02131, 1.62675, 4.91493, 16.35257
8, 23/04/2023 07:37:33, 60.062, 60.06, Pila 2923 Sur[Pila 2923 Sur], AC mantencion 03-03-2016 ., 63.79329, 82.41188, 3.03156, 2.31702, 1141.11551, 2.35688, 85.24047, 3.03063, 1123.25489, 40.91102, 40.70431, 2.68317, 2.57527, 3.54416, 1.50375, 3.62841, 1.56598, 15.29832, 15.74711, 3.46974, 38.0193, 2.77993, 1.85262, 1.95082, 3.61412, 19.30891
9, 23/04/2023 07:38:33, 60.06, 60.06, Pila 2923 Sur[Pila 2923 Sur], AC mantencion 03-03-2016 ., 72.31991, 81.0323, 3.00783, 2.35339, 1142.23881, 2.35077, 84.55159, 3.03263, 1123.72505, 40.81451, 40.58018, 2.71393, 2.52059, 3.55985, 1.51433, 3.72148, 1.58133, 15.38814, 15.94993, 3.06865, 38.89291, 3.32597, 2.24484, 1.72483, 3.87197, 17.17461
10, 23/04/2023 07:39:33, 60.06, 60.06, Pila 2923 Sur[Pila 2923 Sur], AC mantencion 03-03-2016 ., 72.19388, 79.39553, 2.99931, 2.36779, 1140.06581, 2.34249, 83.93999, 3.03434, 1122.73083, 40.73942, 40.25236, 2.72988, 2.66469, 3.57378, 1.52563, 3.78364, 1.59796, 15.47331, 16.14112, 3.06734, 39.11745, 3.07354, 2.18962, 1.7691, 3.87365, 17.30824
