,id_eq,FCAO,SiO2,Al2O3,Fe2O3,CaO,MgO,SO3,K2O,Na2O,C3S,C2S,C3A,C4AF,A/S," ""CaO""  [CurrentProduct.Dry basis]"," ""SiO2""  [CurrentProduct.Dry basis]"," ""Al2O3""  [CurrentProduct.Dry basis]"," ""Fe2O3""  [CurrentProduct.Dry basis]"," ""MgO""  [CurrentProduct.Dry basis]"," ""CaO""  [Rolling.Analysis1.Dry basis]"," ""SiO2""  [Rolling.Analysis1.Dry basis]"," ""Al2O3""  [Rolling.Analysis1.Dry basis]"," ""Fe2O3""  [Rolling.Analysis1.Dry basis]"," ""MgO""  [Rolling.Analysis1.Dry basis]"
468,Man_CLK461,1.58,21.01,4.99,2.39,66.59,2.71,1.57,0.56,0.44,68.03918999999999,4.0544684720000035,9.17962,7.27277,0.6651832357737083,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
472,Aus_CLK463,1.79,20.98,4.99,2.38,66.35,2.84,1.5,0.56,0.46,66.44953999999993,4.522746328000032,9.196539999999999,7.24234,0.7134294211850836,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
476,Aus_CLK463,1.9,20.98,4.99,2.36,66.29,2.83,1.49,0.57,0.45,65.78607,4.6854402319999835,9.23038,7.18148,0.7152694927980174,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
478,Man_CLK462,1.63,21.19,5.11,2.41,66.57,2.74,1.48,0.53,0.45,65.55145999999995,6.293713864000026,9.46378,7.333630000000001,0.6971006696469978,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
479,Aus_CLK463,1.92,21.22,4.94,2.36,66.04,2.89,1.48,0.57,0.45,63.198799999999984,7.263933471999991,9.097880000000002,7.18148,0.7201023947763825,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
481,Man_CLK461,1.2,21.18,5.01,2.42,66.68,2.73,1.32,0.52,0.42,68.4833,5.3738636,9.181859999999999,7.36406,0.7458247540608556,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
482,Aus_CLK463,1.87,21.12,4.89,2.34,66.09,2.87,1.5,0.55,0.44,64.73039999999999,5.975352552000004,8.99922,7.12062,0.6905513612445665,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
483,Man_CLK462,1.26,21.06,5.08,2.41,66.4,2.74,1.5,0.54,0.45,67.5552,5.545712496000007,9.38428,7.333630000000001,0.6934797529169527,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
484,Aus_CLK463,1.8,21.2,4.85,2.34,65.94,2.88,1.51,0.56,0.45,64.06543999999998,6.921339744000001,8.89322,7.12062,0.7001595403782608,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
487,Aus_CLK463,1.93,21.15,4.92,2.35,65.96,2.91,1.49,0.54,0.45,63.51306999999997,6.795446560000016,9.0618,7.151050000000001,0.6981339794465967,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
488,Aus_CLK463,1.86,21.16,4.93,2.35,66.13,2.86,1.5,0.53,0.44,64.34692999999993,6.410033944000041,9.088299999999998,7.151050000000001,0.67920384351407,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
490,Man_CLK462,1.98,21.04,4.98,2.37,66.96,2.76,1.44,0.51,0.43,67.78483999999992,3.1038951520000566,9.186960000000001,7.2119100000000005,0.6867230992145199,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
491,Aus_CLK463,1.9,21.04,4.83,2.34,66.14,2.86,1.57,0.56,0.41,65.82289999999998,4.829675679999994,8.84022,7.12062,0.6405273902836733,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
493,Aus_CLK463,1.89,21.14,4.88,2.34,66.18,2.88,1.54,0.55,0.42,64.93055000000005,5.820276143999976,8.972719999999999,7.12062,0.6558575261389263,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
494,Man_CLK462,1.83,21.1,4.97,2.38,66.92,2.82,1.36,0.5,0.46,67.82952999999996,3.702875376000037,9.143539999999998,7.24234,0.7493237514635229,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
495,Aus_CLK463,2.0,21.14,4.93,2.35,66.33,2.89,1.47,0.53,0.46,64.74319,5.623792664000014,9.088299999999998,7.151050000000001,0.7106205557034071,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
496,Man_CLK461,1.6,21.13,5.04,2.39,67.22,2.77,1.18,0.5,0.43,69.27460000000002,3.4050919200000322,9.31212,7.27277,0.8308225631957936,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
500,Aus_CLK463,1.92,21.15,4.92,2.35,66.33,2.9,1.5,0.55,0.44,65.06004999999999,5.659116471999994,9.0618,7.151050000000001,0.6905513612445665,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
502,Man_CLK462,1.83,21.01,4.97,2.36,66.78,2.86,1.51,0.54,0.45,67.97219,3.337222672000017,9.17738,7.18148,0.6888871717718074,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
503,Aus_CLK463,1.48,21.15,4.82,2.34,66.21,2.85,1.6,0.56,0.43,67.04886999999995,5.510062120000036,8.81372,7.12062,0.644646533973919,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
504,Man_CLK461,1.45,21.18,5.05,2.4,66.44,2.81,1.44,0.64,0.44,66.24838999999997,6.292089103999999,9.3217,7.3032,0.7725158239914589,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
